id,susp_entrop_ratio,susp_name_ratio,susp_code_size,imphash,n_exports,n_antidbg,n_antivm,n_susp_api,has_cfg,has_dep,has_aslr,has_seh,has_gs,has_tls,has_code_integrity,susp_dbg_ts,n_url,n_ip,has_manifest,has_version,is_packed,has_certificate,susp_virustotal_ratio,n_yara_rules
000ea8f3cf010b991bb0c566f544cff3,0.25%,0.75%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
00109f282ec2df9ee347c269d6d62338,0.3333333333333333%,0.0%,0,,0,0,0,0,0,1,1,1,-1,0,-1,0,0,3,-1,-1,1,0,-1,0
0020493d091dc435858961aeea6eaad3,0.2%,0.0%,0,,0,0,0,0,0,1,1,1,1,0,1,-1,8,1,-1,-1,1,1,-1,0
00238ab3f3e763cc4152e4bfc18a54de,0.25%,0.0%,0,,0,0,0,0,0,0,0,1,1,0,1,-1,9,0,-1,-1,1,0,-1,0
002975f2947ffd56df529244e15cc5c9,1.0%,1.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
003e0c2d57125ab941456d253fbc21a4,0.6666666666666666%,0.0%,0,,0,0,0,0,0,1,1,0,-1,0,-1,-1,0,0,-1,-1,1,0,-1,0
004b11570ebc3daee60fe41ac438caf9,0.0%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,1,-1,-1,1,0,-1,0
005f8566de6ef93dddc5ffef7a14586f,1.0%,1.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
006955cc622a1776adc279732418aff4,0.0%,0.0%,0,,0,0,0,0,0,1,1,1,1,0,1,0,8,0,-1,-1,1,1,-1,0
007a003d7f605691fa8fd0c61b17295e,0.16666666666666666%,0.3333333333333333%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
007ed9e6d0acfc5378d159c105bd012c,0.45454545454545453%,0.6363636363636364%,1,,0,0,0,0,0,0,0,1,-1,1,-1,-1,1,0,-1,-1,0,0,-1,0
008ef6c663efef0ee1a8a0b5b3208573,0.2%,0.2%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
00a48f200c58aa06db261bb5064d6d94,0.5%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
00bca97c7ef702e91ca45a05b2832907,0.5%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
00bf016196da3cba5709c1850a46e636,0.6666666666666666%,0.6666666666666666%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
00c4930bada269d6e900d4a95a3ce460,0.2857142857142857%,0.14285714285714285%,1,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,1,0,-1,0
01078c681d074841c4bdaa4a3b0cbdb6,0.0%,0.6666666666666666%,1,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
011de1a691f44d1f9dad97c52762c70d,0.5%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
011f0ae6c21dd152ed0c0564389f5b11,1.0%,1.0%,1,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,1,0,-1,0
012d0a7c38aedded0d97cc00a8d309ae,0.42857142857142855%,0.2857142857142857%,0,,0,0,0,0,0,1,1,0,-1,0,-1,0,9,0,-1,-1,0,1,-1,0
015a5407ea2b42b0b0202a0a5da3f9de,0.42857142857142855%,0.2857142857142857%,0,,0,0,0,0,0,1,1,0,-1,0,-1,0,9,0,-1,-1,0,1,-1,0
01724d5bdbab2c1ba3cdebe29002b230,0.375%,0.5%,0,,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,0,-1,-1,1,0,-1,0
018c130422017eafd3cc38876acbc4ba,1.0%,1.0%,1,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,1,0,-1,0
0190e1b5a8d8c0236e9b0c0199527708,0.0%,0.75%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,4,0,-1,-1,1,0,-1,0
01bc8a5f2e4e1c523e5bd9057bb01125,1.0%,1.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
01d85b3a66900d74009b654b6713ab62,0.0%,0.25%,0,,0,0,0,0,0,0,0,1,1,0,1,-1,0,0,-1,-1,0,0,-1,0
01da4f817e6a61908283b4fa107003e6,0.45454545454545453%,0.6363636363636364%,1,,0,0,0,0,0,0,0,1,-1,1,-1,-1,1,0,-1,-1,0,0,-1,0
01db347d901d1cd465267942464d3a3c,0.8%,0.6%,1,,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,0,-1,-1,1,0,-1,0
01f851e516fe847a2d8de424fe80ed21,0.75%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
0233c877c1556b157360bc1a67e46558,0.2%,0.0%,0,,0,0,0,0,0,1,1,1,1,0,1,-1,8,1,-1,-1,1,1,-1,0
024b40edb5c1319c4e936cc7fe3dfda9,0.25%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,1,0,-1,0
0281276842c5b0b14268de6a5bb7415e,0.16666666666666666%,0.3333333333333333%,1,,0,0,1,0,0,0,0,1,-1,0,-1,-1,17,0,-1,-1,0,0,-1,0
02823b4e4afb6763d5cc97b4994a4dd8,0.375%,0.5%,0,,0,0,0,0,0,0,0,1,-1,1,-1,-1,10,0,-1,-1,1,1,-1,0
028242ae23883971b144db51db2e03d8,0.8%,0.5%,1,,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,0,-1,-1,1,0,-1,0
028aacc4c39843ad197eb783d4569779,0.16666666666666666%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,-1,-1,1,0,-1,0
0291dea71dc2133e56bb49412c40b829,0.6666666666666666%,0.6666666666666666%,1,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,1,0,-1,0
029de2bb62fe219edc037fc19916491b,0.25%,0.0%,0,,0,0,0,0,0,0,0,1,1,0,1,-1,1,0,-1,-1,1,0,-1,0
02a2e022721e6aaaa89a5900aebe1608,0.16666666666666666%,0.16666666666666666%,0,,0,0,0,0,0,0,1,1,1,0,1,-1,0,0,-1,-1,1,0,-1,0
02c6e7cbeff13ff5bf850867e87da493,0.5%,0.5%,1,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
02ddfc88dc8b6a741e55b5685efdcc2b,0.5%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
02ea27beb3413715585b2fe6339fb263,1.0%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
02f380fb9c4003d9ca3bb543fe949871,0.6666666666666666%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
0374398c904c2f0aab72111c4d4dcafa,1.0%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
038417850839c9f0eec80df58bb057fa,1.0%,1.0%,1,,0,0,0,0,0,0,0,1,-1,0,-1,-1,172,2,-1,-1,1,0,-1,0
0387d14035a2626d3db2a9de0bdd041b,0.16666666666666666%,0.3333333333333333%,1,,0,0,0,0,0,0,0,1,-1,0,-1,-1,7,0,-1,-1,0,0,-1,0
03a8b6debbece4395ac393f5d38714bc,0.0%,0.75%,0,,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,0,-1,-1,1,0,-1,0
03ac83858f914eb397b7a841a254dff9,1.0%,1.0%,1,,0,0,0,0,0,0,0,1,-1,0,-1,-1,172,2,-1,-1,1,0,-1,0
03bc3c8dcb8f04b4a0c84b0ae093ff44,0.25%,0.5%,0,,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,0,-1,-1,1,0,-1,0
03d2d81a50d6f66059b5606e86ece45c,1.0%,1.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
03e3425440f6f4fc03e773f775294a70,0.25%,0.75%,0,,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,1,-1,-1,0,0,-1,0
03e436078c7902b14a966a50b745f634,0.0%,0.0%,0,,0,0,0,0,0,1,0,1,1,0,1,-1,10,0,-1,-1,1,0,-1,0
03e473a5ae8ca5ae86b5f10104262287,0.6666666666666666%,0.0%,1,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
0407170f16ebd466cabad366506937ef,0.875%,0.25%,1,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
040c234c5c1f7ef38aa981ad22e8ac3d,0.0%,0.75%,0,,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,0,-1,-1,1,0,-1,0
0411a3bc9069617e6109f6b2eacaee38,0.8%,0.6%,1,,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,0,-1,-1,1,0,-1,0
0416642f853903dbb3a7ccbefc6864fb,1.0%,1.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
04225f0ed8f93ea68e65320e3264918c,0.75%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0
045d5634686c1bec5bd7be41409456ec,0.0%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,1,0,-1,0
046c0da0883b3a664470706d2ec233c5,0.0%,0.75%,1,,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,11,-1,-1,1,0,-1,0
046df7b075d20954de495239e4cd758c,0.0%,0.0%,0,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,1,0,-1,0
