id,susp_entrop_ratio,susp_name_ratio,susp_code_size,imphash,n_exports,n_antidbg,n_antivm,n_susp_api,has_cfg,has_dep,has_aslr,has_seh,has_gs,has_tls,has_code_integrity,susp_dbg_ts,n_url,n_ip,has_manifest,has_version,n_susp_strings,is_packed,has_certificate,susp_virustotal_ratio,n_yara_rules
05ee0d9bb5b1789da51fb0c022b33268,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,-1,0,0,-1,-1,0,1,0,-1,3
0624068de0ccf5bb7c90c69d4f55b352,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,1,1,0,-1,0
0644d4e4cca2621149f4c9e17209ea88,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,0,1,0,-1,0
065ab9a1d357e40caf5f9ad4751bb234,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,0,1,0,-1,0
0664e6e42dd9e31bba48798960a43ce5,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,0,1,0,-1,0
0693b10200b798cc047d4aa65d23fd48,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,1,1,0,-1,0
069dc9ec9a610e8feae2aec9f2db0411,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,0,1,0,-1,0
06a2adeae1db03df034f49916d687035,0.6666666666666666%,0.6666666666666666%,1,,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,1,1,0,-1,0
06bc107a1237a49172bcc05fa64b3c72,0.25%,0.0%,0,,0,0,0,0,0,0,1,1,1,1,1,-1,0,0,-1,-1,5,1,0,-1,1
06c19dca4a85a567510cee61610170c2,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,1,1,0,-1,0
06d32552ae15472e2b305f7c5ac41faa,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,0,1,0,-1,0
06dc7b42a4f3548c04ce748642bf4a9e,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,1,1,0,-1,0
