id,n_antivm,has_dep,has_aslr,has_gs,has_tls,has_code_integrity,susp_dbg_ts,n_yara_rules
000ea8f3cf010b991bb0c566f544cff3,0,0,0,-1,0,-1,-1,0
00109f282ec2df9ee347c269d6d62338,0,1,1,-1,0,-1,0,0
0020493d091dc435858961aeea6eaad3,0,1,1,1,0,1,-1,0
00238ab3f3e763cc4152e4bfc18a54de,0,0,0,1,0,1,-1,0
002975f2947ffd56df529244e15cc5c9,0,0,0,-1,0,-1,-1,0
003e0c2d57125ab941456d253fbc21a4,0,1,1,-1,0,-1,-1,0
004b11570ebc3daee60fe41ac438caf9,0,0,0,-1,0,-1,-1,0
005f8566de6ef93dddc5ffef7a14586f,0,0,0,-1,0,-1,-1,0
006955cc622a1776adc279732418aff4,0,1,1,1,0,1,0,0
007a003d7f605691fa8fd0c61b17295e,0,0,0,-1,0,-1,-1,0
007ed9e6d0acfc5378d159c105bd012c,0,0,0,-1,1,-1,-1,0
008ef6c663efef0ee1a8a0b5b3208573,0,0,0,-1,0,-1,-1,0
00a48f200c58aa06db261bb5064d6d94,0,0,0,-1,0,-1,-1,0
00bca97c7ef702e91ca45a05b2832907,0,0,0,-1,0,-1,-1,0
00bf016196da3cba5709c1850a46e636,0,0,0,-1,0,-1,-1,0
00c4930bada269d6e900d4a95a3ce460,0,0,0,-1,0,-1,-1,0
01078c681d074841c4bdaa4a3b0cbdb6,0,0,0,-1,0,-1,-1,0
011de1a691f44d1f9dad97c52762c70d,0,0,0,-1,0,-1,-1,0
011f0ae6c21dd152ed0c0564389f5b11,0,0,0,-1,0,-1,-1,0
012d0a7c38aedded0d97cc00a8d309ae,0,1,1,-1,0,-1,0,0
015a5407ea2b42b0b0202a0a5da3f9de,0,1,1,-1,0,-1,0,0
01724d5bdbab2c1ba3cdebe29002b230,0,0,0,-1,1,-1,-1,0
018c130422017eafd3cc38876acbc4ba,0,0,0,-1,0,-1,-1,0
0190e1b5a8d8c0236e9b0c0199527708,0,0,0,-1,0,-1,-1,0
01bc8a5f2e4e1c523e5bd9057bb01125,0,0,0,-1,0,-1,-1,0
01d85b3a66900d74009b654b6713ab62,0,0,0,1,0,1,-1,0
01da4f817e6a61908283b4fa107003e6,0,0,0,-1,1,-1,-1,0
01db347d901d1cd465267942464d3a3c,0,0,0,-1,1,-1,-1,0
01f851e516fe847a2d8de424fe80ed21,0,0,0,-1,0,-1,-1,0
0233c877c1556b157360bc1a67e46558,0,1,1,1,0,1,-1,0
024b40edb5c1319c4e936cc7fe3dfda9,0,0,0,-1,0,-1,-1,0
0281276842c5b0b14268de6a5bb7415e,0,0,0,-1,0,-1,-1,0
02823b4e4afb6763d5cc97b4994a4dd8,0,0,0,-1,1,-1,-1,0
028242ae23883971b144db51db2e03d8,0,0,0,-1,1,-1,-1,0
028aacc4c39843ad197eb783d4569779,0,0,0,-1,0,-1,0,0
0291dea71dc2133e56bb49412c40b829,0,0,0,-1,0,-1,-1,0
029de2bb62fe219edc037fc19916491b,0,0,0,1,0,1,-1,0
02a2e022721e6aaaa89a5900aebe1608,0,0,1,1,0,1,-1,0
02c6e7cbeff13ff5bf850867e87da493,0,0,0,-1,0,-1,-1,0
02ddfc88dc8b6a741e55b5685efdcc2b,0,0,0,-1,0,-1,-1,0
02ea27beb3413715585b2fe6339fb263,0,0,0,-1,0,-1,-1,0
02f380fb9c4003d9ca3bb543fe949871,0,0,0,-1,0,-1,-1,0
0374398c904c2f0aab72111c4d4dcafa,0,0,0,-1,0,-1,-1,0
038417850839c9f0eec80df58bb057fa,0,0,0,-1,0,-1,-1,0
0387d14035a2626d3db2a9de0bdd041b,0,0,0,-1,0,-1,-1,0
03a8b6debbece4395ac393f5d38714bc,0,0,0,-1,1,-1,-1,0
03ac83858f914eb397b7a841a254dff9,0,0,0,-1,0,-1,-1,0
03bc3c8dcb8f04b4a0c84b0ae093ff44,0,0,0,-1,1,-1,-1,0
03d2d81a50d6f66059b5606e86ece45c,0,0,0,-1,0,-1,-1,0
03e3425440f6f4fc03e773f775294a70,0,0,0,-1,1,-1,-1,0
03e436078c7902b14a966a50b745f634,0,1,0,1,0,1,-1,0
03e473a5ae8ca5ae86b5f10104262287,0,0,0,-1,0,-1,-1,0
0407170f16ebd466cabad366506937ef,0,0,0,-1,0,-1,-1,0
040c234c5c1f7ef38aa981ad22e8ac3d,0,0,0,-1,1,-1,-1,0
0411a3bc9069617e6109f6b2eacaee38,0,0,0,-1,1,-1,-1,0
0416642f853903dbb3a7ccbefc6864fb,0,0,0,-1,0,-1,-1,0
04225f0ed8f93ea68e65320e3264918c,0,0,0,-1,0,-1,-1,0
045d5634686c1bec5bd7be41409456ec,0,0,0,-1,0,-1,-1,0
046c0da0883b3a664470706d2ec233c5,0,0,0,-1,1,-1,-1,0
046df7b075d20954de495239e4cd758c,0,0,0,-1,0,-1,-1,0
046f93af2cbe078b201f3bf09a8474f5,0,1,1,-1,0,-1,-1,0
046fbab8101a1c64b4212000b8802cf3,0,0,0,-1,0,-1,-1,0
04808e147113b6e9fce32582f62663b2,0,0,0,-1,0,-1,-1,0
048dfad8ea398e2aa6d23ab5dfebb1fc,0,0,0,-1,0,-1,-1,0
04dff493c1b72d7530311ab7f4c60189,0,0,0,-1,0,-1,-1,0
050493b4f29b0b1ec7eecf54c8eb25b9,0,0,0,-1,0,-1,-1,0
0521829ce7e96afe47910664025fad9d,0,0,0,-1,0,-1,-1,0
053b00b6e799e40e085c0f42f77d7cf5,0,0,0,-1,0,-1,-1,0
0565d53c896fb8deec8f09dd3628bdb0,0,0,0,-1,0,-1,-1,0
056de47977034d77de3dd8bba2d590e7,0,0,0,-1,1,-1,-1,0
05707b5532eeeeee568709d294a80bb6,0,0,0,-1,0,-1,-1,0
057652e4f0b3bff6543b998b577e858b,0,0,1,1,0,1,0,0
058f83209708d07de130f722c7a750f3,0,0,0,-1,1,-1,-1,0
05a966d147ab7a409980f384dfd6a2ac,0,0,0,-1,0,-1,-1,0
05c8ce05feab2a4cc9dfc181a105380b,0,1,1,1,0,1,-1,0
05d481ed3ae38674e66734978c985232,0,0,0,-1,0,-1,-1,0
0613dd9fda2579234d44d18f1068706c,0,0,0,-1,0,-1,-1,0
061cd1818aee9178ddc4276b15b6b3b0,0,0,0,-1,0,-1,-1,0
06267fd899eea722ba3b26044c8e1e87,0,0,0,-1,0,-1,-1,0
063ba915ad1e4bdebbb221451a1a200b,0,0,1,-1,0,-1,-1,0
066ae60ce11f6503c89ba8ecc3379981,0,0,0,1,0,1,-1,0
0671e60dbc00b551e63868c09ae3fb51,0,0,0,-1,0,-1,-1,0
06946c35b94462842ce97d39084db959,0,0,0,-1,1,-1,-1,0
06a6fe46061b02e90753a2ee9109ebe6,0,0,0,-1,0,-1,-1,0
06a837a5c9de71e0954d7e08cd92a6a7,0,0,0,-1,0,-1,-1,0
06c0ffe7741b7fb3cb541a2dbd81f6d4,0,0,0,-1,0,-1,-1,0
06c9a26ed334976dee0d2e8666551aea,0,1,1,-1,0,-1,0,0
06ca52fddbfd60fd746301b15586c2c7,0,0,0,-1,0,-1,-1,0
06f20a9406a2c63c52e138ce67f8d2a4,0,0,0,-1,0,-1,-1,0
06f6bf3464dcf3623cba836c52b6e2dc,0,1,1,1,1,1,0,0
06f8c051f11ece027df834bf88063a07,0,0,0,-1,0,-1,-1,0
070d22f267ab4b31c7c6413a622c17fd,0,0,0,-1,0,-1,-1,0
0724ab47b40c51ea0774fdc476ec3c15,0,0,0,-1,0,-1,-1,0
075abe2eaca8603670a57e58ffc97ea3,0,0,0,1,0,1,0,0
077dbc227c6234d572ee3e8e9f858fac,0,0,0,-1,0,-1,-1,0
079343204b99c4c963d153d918fc3e7d,0,0,0,-1,1,-1,-1,0
07c5bf64d7824222e106739049a41299,0,0,0,-1,0,-1,-1,0
07cb51233c2e74b0a935caa0f380f805,0,0,0,-1,0,-1,-1,0
07de031a886bd29ba4835780a6bf3a93,0,1,0,-1,0,-1,-1,0
07faa7939379fa14bea1a37b2a18e2af,0,0,0,-1,0,-1,-1,0
07fbcaa06783e42f3561ce446be6f423,0,0,0,-1,0,-1,0,0
08000fafa1009120765598f98d7b250b,0,0,0,1,0,1,-1,0
0806e6b7ece5efff3e4ee5059359c3f7,0,0,0,-1,0,-1,0,0
0815e4f8f7ad884d844d24eca3ad0777,0,0,0,-1,0,-1,-1,0
0816d17befc9be05ad4bf8c053f3f56e,0,0,0,-1,0,-1,-1,0
082ab588814f51bf225999c537daeb39,0,0,0,-1,0,-1,-1,0
0838a585cf8ab968f61bb18d35061125,0,0,0,-1,0,-1,-1,0
084e8af5025289c904d60aa57b358792,0,0,0,-1,0,-1,-1,0
085da6ffb5f90cc70fb22ea96b1c9fe3,0,0,0,-1,0,-1,-1,0
086276073133493d69b4ef4c78bc63d3,0,0,0,-1,1,-1,-1,0
086477eed4b02b118ad6b037fc89f90d,0,0,0,-1,0,-1,-1,0
0895e554e70fadaf48d83a5b7b5ab146,0,1,1,1,0,1,-1,0
08cf16249074fbe375f54fdd25a1e187,0,0,0,-1,0,-1,-1,0
08d26ecdbda9a40a034fa49f99d00099,0,0,0,-1,0,-1,-1,0
08ffdc55542624d207b47dbdd5546a52,0,1,1,1,0,1,-1,0
090c05a28a3cb1b16e7fe2fdee902dd8,0,1,1,1,0,1,-1,0
090d43f7de8851e9ffe45d820ae543b6,0,0,0,-1,0,-1,-1,0
093ad59577f2a92457ab79ab47e1cd47,0,0,0,-1,0,-1,-1,0
093cbdb07acc56ece622811e4abc556a,0,1,1,-1,0,-1,-1,0
096067278dddc7a48e94674bf6c674f3,0,0,0,-1,1,-1,-1,0
096dc0e3c2982200d2db6d4b99602d92,0,0,0,-1,1,-1,-1,0
09a1cb8667be4bd9319093a55d3e8c95,0,0,0,-1,0,-1,-1,0
09de697a4650f47a3051e79774658dc5,0,0,0,-1,1,-1,-1,0
09dfc12e876fa50179d46a252070a1e1,0,0,1,1,0,1,-1,0
09fc107f1b364715a8ff0436bc6ae96e,0,0,0,-1,0,-1,-1,0
09fe9e57f7a62db5af2d9366fee6fbe2,0,1,0,1,0,1,-1,0
0a16c5668ce87869a9cfd1ba5e35af33,0,0,0,-1,0,-1,-1,0
0a1ba0fea8bab5cabe474df91b7e44cd,0,0,0,-1,1,-1,-1,0
0a1cf8381bc674e35e100c3a2932c4fa,0,0,0,-1,1,-1,-1,0
0a21ade101c88b7e52e0f0b2e3268f07,0,0,0,-1,0,-1,-1,0
0a2c9bc56a3b99c668d5e2c5cb316183,0,1,0,1,0,1,-1,0
0a30eb4255062a18f98835b29ecf7746,0,0,0,-1,0,-1,-1,0
0a3c6a2fd71751249eeb464b04fc250b,0,0,0,-1,0,-1,-1,0
0a403cf62e97717a3b3d5b8b809c8d33,0,0,0,-1,0,-1,-1,0
0a64b28f89b92991c610419f7d123728,1,0,0,-1,0,-1,-1,0
0a8035f10baf74553194afed194773ae,0,0,0,-1,0,-1,-1,0
0a88dba667697b1e4c9ed403bc569a98,0,0,0,-1,0,-1,-1,0
